"Date","Store","IsHoliday","Temperature","Fuel_Price","MarkDown1","MarkDown2","MarkDown3","MarkDown4","MarkDown5","CPI","Unemployment","Type","Size","Weekly_Sales"
"01/04/2011",1,"FALSE","59.17","3.524","NA","NA","NA","NA","NA","214.8371664","7.682","A","151315",1495064.75
"01/04/2011",2,"FALSE","55.43","3.524","NA","NA","NA","NA","NA","214.4886908","7.931","A","202307",1800171.36
"01/04/2011",3,"FALSE","68.76","3.524","NA","NA","NA","NA","NA","218.2114184","7.574","B","37392",374556.08
"01/04/2011",4,"FALSE","56.99","3.521","NA","NA","NA","NA","NA","128.7199355","5.946","A","205863",1900246.47
"01/04/2011",5,"FALSE","61.5","3.524","NA","NA","NA","NA","NA","215.4024406","6.489","B","34875",314316.55
"01/04/2011",6,"FALSE","62.25","3.524","NA","NA","NA","NA","NA","216.3841249","6.855","A","202505",1459276.77
"01/04/2011",7,"FALSE","24.83","3.461","NA","NA","NA","NA","NA","192.2691707","8.595","B","70713",513409.67
"01/04/2011",8,"FALSE","49.86","3.524","NA","NA","NA","NA","NA","218.2586281","6.297","A","155078",878762.3
"01/04/2011",9,"FALSE","56.12","3.524","NA","NA","NA","NA","NA","218.445164","6.38","B","125833",520962.14
"01/04/2011",10,"FALSE","67.64","3.772","NA","NA","NA","NA","NA","128.7199355","8.494","B","126512",1827733.18
"01/04/2011",11,"FALSE","69.1","3.524","NA","NA","NA","NA","NA","218.2114184","7.574","A","207499",1258674.12
"01/04/2011",12,"FALSE","63.63","3.772","NA","NA","NA","NA","NA","128.7199355","13.736","B","112238",1005463.49
"01/04/2011",13,"FALSE","42.49","3.487","NA","NA","NA","NA","NA","128.7199355","7.193","A","219622",1864238.64
"01/04/2011",14,"FALSE","37.27","3.638","NA","NA","NA","NA","NA","185.1790167","8.521","A","200898",1869110.55
"01/04/2011",15,"FALSE","30.34","3.811","NA","NA","NA","NA","NA","134.0682581","7.658","B","123737",542556.05
"01/04/2011",16,"FALSE","35.75","3.461","NA","NA","NA","NA","NA","192.2691707","6.339","B","57197",459756.11
"01/04/2011",17,"FALSE","39.38","3.487","NA","NA","NA","NA","NA","128.7199355","6.774","B","93188",795859.23
"01/04/2011",18,"FALSE","35.06","3.638","NA","NA","NA","NA","NA","134.0682581","8.975","B","120653",938083.17
"01/04/2011",19,"FALSE","30.68","3.811","NA","NA","NA","NA","NA","134.0682581","7.658","A","203819",1305950.22
"01/04/2011",20,"FALSE","32.43","3.638","NA","NA","NA","NA","NA","207.8823043","7.287","A","203742",1927993.09
"01/04/2011",21,"FALSE","56.36","3.524","NA","NA","NA","NA","NA","214.4886908","7.931","B","140167",732056.37
"01/04/2011",22,"FALSE","36.04","3.638","NA","NA","NA","NA","NA","137.9558929","8.252","B","119557",951588.37
"01/04/2011",23,"FALSE","29.44","3.638","NA","NA","NA","NA","NA","134.0682581","4.781","B","114533",1182694.95
"01/04/2011",24,"FALSE","35.73","3.811","NA","NA","NA","NA","NA","134.0682581","8.212","A","203819",1163803.3
"01/04/2011",25,"FALSE","28.5","3.638","NA","NA","NA","NA","NA","207.8823043","7.287","B","128107",618377.79
"01/04/2011",26,"FALSE","22.99","3.638","NA","NA","NA","NA","NA","134.0682581","7.818","A","152513",849231.61
"01/04/2011",27,"FALSE","37.27","3.811","NA","NA","NA","NA","NA","137.9558929","7.725","A","204184",1628868.28
"01/04/2011",28,"FALSE","63.63","3.772","NA","NA","NA","NA","NA","128.7199355","13.736","A","206302",1336838.41
"01/04/2011",29,"FALSE","36.04","3.638","NA","NA","NA","NA","NA","134.0682581","9.966","B","93638",475615.26
"01/04/2011",30,"FALSE","56.36","3.524","NA","NA","NA","NA","NA","214.4886908","7.931","C","42988",437926.79
"01/04/2011",31,"FALSE","56.36","3.524","NA","NA","NA","NA","NA","214.4886908","7.931","A","203750",1344890.73
"01/04/2011",32,"FALSE","44.83","3.461","NA","NA","NA","NA","NA","192.2691707","8.595","A","203007",1051121.02
"01/04/2011",33,"FALSE","71.41","3.772","NA","NA","NA","NA","NA","128.7199355","8.687","A","39690",232769.09
"01/04/2011",34,"FALSE","55.46","3.521","NA","NA","NA","NA","NA","128.7199355","10.581","A","158114",884233.67
"01/04/2011",35,"FALSE","37.27","3.638","NA","NA","NA","NA","NA","137.9558929","8.512","B","103681",762620.94
"01/04/2011",36,"FALSE","67.31","3.529","NA","NA","NA","NA","NA","213.5776701","8.3","A","39910",385672.11
"01/04/2011",37,"FALSE","67.31","3.524","NA","NA","NA","NA","NA","213.5776701","8.3","C","39910",534578.78
"01/04/2011",38,"FALSE","63.63","3.772","NA","NA","NA","NA","NA","128.7199355","13.736","C","39690",382098.13
"01/04/2011",39,"FALSE","66.57","3.524","NA","NA","NA","NA","NA","213.5776701","8.3","A","184109",1316849.36
